"""","海水動力漁船総隻数(隻)","海水動力漁船_ 1ﾄﾝ未満(隻)","海水動力漁船_1～3ﾄﾝ未満(隻)","海水動力漁船_3～5ﾄﾝ未満(隻)","海水動力漁船_5～10ﾄﾝ未満(隻)","海水動力漁船_10～15ﾄﾝ未満(隻)","海水動力漁船_15～20ﾄﾝ未満(隻)","海水動力漁船_20～30ﾄﾝ未満(隻)","海水動力漁船_30～50ﾄﾝ      未満(隻)","海水動力漁船_50～100ﾄﾝ     未満(隻)","海水動力漁船_100～200  ﾄﾝ未満(隻)","海水動力漁船_200ﾄﾝ    以上(隻)","海水無動力漁船総隻数(隻)","海水無動力漁船_1ﾄﾝ未満(隻)","海水無動力漁船_1～3ﾄﾝ未満(隻)","海水無動力漁船_3～5ﾄﾝ未満(隻)","海水無動力漁船_5ﾄﾝ以上(隻)"
"平成24年末現在","5384.0","1943.0","1408.0","976.0","797.0","197.0","52.0","0.0","7.0","1.0","0.0","3.0","74.0","33.0","24.0","8.0","9.0"
"平成25年末現在","5214.0","1880.0","1362.0","945.0","777.0","189.0","52.0","0.0","5.0","1.0","-","3.0","81.0","33.0","31.0","8.0","9.0"
"平成26年末現在","5080.0","1851.0","1318.0","913.0","764.0","183.0","42.0","-","5.0","1.0","-","3.0","78.0","30.0","31.0","8.0","9.0"
"","","","","","","","","","","","","","","","","",""
" 和歌山市","338.0","35.0","116.0","103.0","73.0","7.0","2.0","-","2.0","-","-","-","-","-","-","-","-"
" 海 南 市","284.0","114.0","115.0","27.0","27.0","1.0","-","-","-","-","-","-","-","-","-","-","-"
" 有 田 市","434.0","72.0","109.0","64.0","80.0","109.0","-","-","-","-","-","-","-","-","-","-","-"
" 御 坊 市","245.0","113.0","71.0","32.0","22.0","5.0","2.0","-","-","-","-","-","-","-","-","-","-"
" 田 辺 市","299.0","98.0","57.0","92.0","38.0","7.0","7.0","-","-","-","-","-","19.0","7.0","4.0","2.0","6.0"
" 新 宮 市","82.0","17.0","38.0","12.0","9.0","4.0","2.0","-","-","-","-","-","-","-","-","-","-"
"","","","","","","","","","","","","","","","","",""
" 湯 浅 町","208.0","28.0","48.0","66.0","58.0","8.0","-","-","-","-","-","-","-","-","-","-","-"
" 広 川 町","137.0","22.0","52.0","36.0","22.0","1.0","4.0","-","-","-","-","-","-","-","-","-","-"
"","","","","","","","","","","","","","","","","",""
" 美 浜 町","90.0","19.0","30.0","24.0","15.0","2.0","-","-","-","-","-","-","8.0","-","4.0","4.0","-"
" 日 高 町","196.0","89.0","68.0","16.0","11.0","8.0","2.0","-","2.0","-","-","-","6.0","1.0","5.0","-","-"
" 由 良 町","288.0","113.0","66.0","73.0","32.0","2.0","2.0","-","-","-","-","-","3.0","-","3.0","-","-"
" 印 南 町","91.0","45.0","13.0","9.0","24.0","-","-","-","-","-","-","-","-","-","-","-","-"
" みなべ町","163.0","55.0","12.0","37.0","44.0","8.0","7.0","-","-","-","-","-","28.0","22.0","4.0","2.0","-"
"","","","","","","","","","","","","","","","","",""
" 白 浜 町","325.0","126.0","80.0","69.0","43.0","6.0","1.0","-","-","-","-","-","7.0","-","6.0","-","1.0"
" すさみ町","142.0","36.0","8.0","24.0","73.0","1.0","-","-","-","-","-","-","-","-","-","-","-"
"","","","","","","","","","","","","","","","","",""
" 那智勝浦町","448.0","225.0","129.0","49.0","37.0","5.0","3.0","-","-","-","-","-","-","-","-","-","-"
" 太 地 町","202.0","115.0","51.0","15.0","11.0","3.0","3.0","-","1.0","-","-","3.0","1.0","-","-","-","1.0"
" 串 本 町","1108.0","529.0","255.0","165.0","145.0","6.0","7.0","-","-","1.0","-","-","6.0","-","5.0","-","1.0"
